Longitude,Latitude
-73.8219,40.8612
-73.8221,40.7604
-73.8225,40.6876
-73.8225,40.8270
-73.8226,40.6868
-73.8226,40.7249
-73.8226,40.7603
-73.8229,40.6845
-73.8230,40.7614
-73.8231,40.7535
-73.8231,40.7638
-73.8233,40.7294
-73.8234,40.7534
-73.8235,40.6898
-73.8237,40.7599
-73.8237,40.7874
-73.8239,40.6733
-73.8240,40.7397
-73.8245,40.7612
-73.8245,40.8260
-73.8249,40.6770
-73.8250,40.6862
-73.8251,40.7066
-73.8255,40.7634
-73.8255,40.8296
-73.8256,40.7463
-73.8256,40.8294
-73.8257,40.7121
-73.8260,40.7271
-73.8261,40.7286
-73.8261,40.7467
-73.8270,40.7004
-73.8270,40.7467
-73.8272,40.6864
-73.8275,40.6795
-73.8282,40.8474
-73.8283,40.7111
-73.8283,40.8552
-73.8286,40.8696
-73.8288,40.8326
-73.8289,40.6957
-73.8291,40.7574
-73.8293,40.8474
-73.8295,40.8346
-73.8298,40.7686
-73.8299,40.7603
-73.8299,40.8422
-73.8300,40.7547
-73.8303,40.7634
-73.8303,40.8491
-73.8304,40.7640
-73.8307,40.7087
-73.8307,40.7279
-73.8308,40.7635
-73.8311,40.7817
-73.8320,40.7138
-73.8322,40.7149
-73.8322,40.7628
-73.8322,40.8564
-73.8324,40.7611
-73.8326,40.7597
-73.8329,40.7045
-73.8329,40.7614
-73.8335,40.7608
-73.8339,40.8542
-73.8349,40.7151
-73.8351,40.7197
